City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tete,MZ,2020-06-19 19:10:57,-16.16,33.59,71.6,73,75,5.82
70,Moron,AR,2020-06-19 19:10:57,-34.65,-58.62,61.0,87,38,4.7
71,Kenai,US,2020-06-19 19:07:54,60.55,-151.26,52.0,81,90,10.29
72,Pevek,RU,2020-06-19 19:10:58,69.7,170.31,43.09,64,0,8.39
73,Carnarvon,AU,2020-06-19 19:10:58,-24.87,113.63,57.2,93,0,8.05
74,San Cristobal,VE,2020-06-19 19:10:58,7.77,-72.22,87.8,48,20,25.28
75,Mar Del Plata,AR,2020-06-19 19:06:11,-38.0,-57.56,60.01,71,100,16.11
76,Sinnamary,GF,2020-06-19 19:10:59,5.38,-52.95,83.5,72,19,10.54
77,Avarua,CK,2020-06-19 19:10:59,-21.21,-159.78,71.6,64,3,8.05
78,Nikolskoye,RU,2020-06-19 19:10:59,59.7,30.79,71.6,53,20,11.18
79,Tasiilaq,GL,2020-06-19 19:10:59,65.61,-37.64,41.0,93,75,3.36
80,Thompson,CA,2020-06-19 19:11:00,55.74,-97.86,41.0,100,90,3.36
81,Yulara,AU,2020-06-19 19:10:19,-25.24,130.99,51.8,62,0,8.05
82,Gambela,ET,2020-06-19 19:11:00,8.25,34.58,72.52,89,36,2.15
83,Bredasdorp,ZA,2020-06-19 19:11:00,-34.53,20.04,53.6,81,0,3.09
84,Deseronto,CA,2020-06-19 19:11:01,44.2,-77.05,80.01,69,20,9.17
85,Kahului,US,2020-06-19 19:11:01,20.89,-156.47,80.6,69,40,21.92
86,Marrakesh,MA,2020-06-19 19:11:00,31.63,-8.01,86.0,33,20,9.17
87,Vestmannaeyjar,IS,2020-06-19 19:11:01,63.44,-20.27,51.8,81,75,16.11
88,Loreto,MX,2020-06-19 19:11:01,22.27,-101.97,81.23,29,8,3.76
89,Raudeberg,NO,2020-06-19 19:11:02,61.99,5.14,78.8,64,20,5.82
90,Port Lincoln,AU,2020-06-19 19:11:02,-34.73,135.87,53.83,80,0,13.6
91,Vavozh,RU,2020-06-19 19:11:02,56.78,51.93,55.15,86,0,8.77
92,Sept-Iles,CA,2020-06-19 19:11:03,50.2,-66.38,63.0,72,75,14.99
93,Ribeira Grande,PT,2020-06-19 19:11:03,38.52,-28.7,68.0,82,75,14.99
94,Ometepec,MX,2020-06-19 19:11:03,16.68,-98.42,95.74,39,83,5.86
95,Longyearbyen,SJ,2020-06-19 19:11:03,78.22,15.64,39.2,80,40,17.22
96,Kodiak,US,2020-06-19 19:11:04,57.79,-152.41,50.0,76,40,7.2
97,Tiksi,RU,2020-06-19 19:11:04,71.69,128.87,60.17,57,0,6.26
98,Acapulco,MX,2020-06-19 19:11:00,16.86,-99.89,86.0,70,20,8.05
99,Los Llanos De Aridane,ES,2020-06-19 19:11:04,28.66,-17.92,75.2,69,40,16.11
100,Iqaluit,CA,2020-06-19 19:11:04,63.75,-68.51,41.0,75,90,11.41
101,Saint George,US,2020-06-19 19:08:11,37.1,-113.58,82.4,15,1,4.7
102,Berlevag,NO,2020-06-19 19:11:05,70.86,29.09,44.6,81,75,24.16
103,Tabuk,PH,2020-06-19 19:11:05,17.42,121.44,74.5,87,0,2.84
104,Busselton,AU,2020-06-19 19:11:06,-33.65,115.33,42.01,76,0,11.14
105,Sao Joao Da Barra,BR,2020-06-19 19:11:06,-21.64,-41.05,80.6,54,100,4.7
106,Fortuna,US,2020-06-19 19:11:07,40.6,-124.16,62.01,87,1,13.87
107,Aklavik,CA,2020-06-19 19:11:07,68.22,-135.01,51.8,87,90,6.93
108,Port Elizabeth,ZA,2020-06-19 19:10:45,-33.92,25.57,55.4,66,0,4.7
