City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
504,Nautla,MX,83.25,20.22,-96.78,overcast clouds,Casa Blanca
506,Gonaives,HT,83.19,19.45,-72.68,few clouds,Vertières Doux Séjour
510,Maningrida,AU,77.97,-12.07,134.27,clear sky,Dhukurrdji Lodge
511,Zhucheng,CN,76.86,35.99,119.4,overcast clouds,Fanrong Hotel
516,Esna,EG,87.82,25.29,32.55,clear sky,Orient Star Dahabyia Isna 05 Nights Each Sunday
518,Latung,PH,83.61,5.5,120.88,broken clouds,
519,Washougal,US,75.2,45.58,-122.35,few clouds,Camas Hotel & Suites Portland - Vancouver
520,Ambulu,ID,79.43,-8.35,113.61,overcast clouds,Hotel Ambulu Jember
521,Sinnamary,GF,78.3,5.38,-52.95,clear sky,ALETHEIA Appartement Sinnamary
525,Poplar Bluff,US,82.4,36.76,-90.39,clear sky,Holiday Inn Poplar Bluff
527,Dahra,DZ,77.0,36.25,0.85,clear sky,Ein Mtabol
543,Kibala,TD,77.0,9.11,18.35,few clouds,
545,Bombay,IN,80.6,19.01,72.85,haze,Four Seasons Hotel Mumbai
546,San Lazaro,BZ,86.0,18.04,-88.66,scattered clouds,
549,Bilma,NE,83.97,18.69,12.92,clear sky,Expeditions Ténére voyages
551,Itarema,BR,77.43,-2.92,-39.92,clear sky,Windvillage
