City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain(Inches),Snow (inches)
46,Port Alfred,ZA,2020-06-22 01:03:04,-33.59,26.89,59.0,92,49,4.0,scattered clouds,0.0,0.0
47,Bubaque,GW,2020-06-22 01:04:41,11.28,-15.83,81.54,86,0,14.07,clear sky,0.0,0.0
48,Norman Wells,CA,2020-06-22 01:04:41,65.28,-126.83,53.6,93,90,10.29,light rain,0.0,0.0
49,Yurga,RU,2020-06-22 01:04:42,55.72,84.89,54.54,76,26,10.29,scattered clouds,0.0,0.0
50,Astana,KZ,2020-06-22 01:00:46,51.18,71.45,53.6,62,0,6.71,clear sky,0.0,0.0
51,Mango,US,2020-06-22 01:04:43,27.98,-82.31,86.0,66,1,4.7,clear sky,0.0,0.0
52,Christchurch,NZ,2020-06-22 01:03:45,-43.53,172.63,51.01,76,62,6.93,broken clouds,0.0,0.0
53,Deputatskiy,RU,2020-06-22 01:04:44,69.3,139.9,83.82,22,28,2.84,scattered clouds,0.0,0.0
54,Inirida,CO,2020-06-22 01:04:44,3.87,-67.92,75.9,95,99,1.25,light rain,0.15,0.0
55,Hasaki,JP,2020-06-22 01:01:45,35.73,140.83,68.0,100,75,11.41,light intensity shower rain,0.0,0.0
56,Talnakh,RU,2020-06-22 01:04:45,69.49,88.4,59.0,47,72,20.13,broken clouds,0.0,0.0
57,Jalingo,NG,2020-06-22 01:04:46,8.88,11.37,74.75,91,100,3.78,moderate rain,1.88,0.0
58,Honiara,SB,2020-06-22 01:04:46,-9.43,159.95,89.6,62,20,9.17,few clouds,0.0,0.0
59,Seoul,KR,2020-06-22 01:00:21,37.57,126.98,82.4,61,0,3.36,clear sky,0.0,0.0
60,Hazorasp,UZ,2020-06-22 01:04:47,41.32,61.07,68.0,45,6,4.7,clear sky,0.0,0.0
61,Nome,US,2020-06-22 01:04:48,64.5,-165.41,57.2,71,40,8.05,scattered clouds,0.0,0.0
62,Arraial Do Cabo,BR,2020-06-22 00:59:52,-22.97,-42.03,73.24,86,0,15.05,clear sky,0.0,0.0
63,Itoman,JP,2020-06-22 01:04:49,26.12,127.67,82.4,94,75,6.93,light intensity shower rain,0.0,0.0
64,Natchez,US,2020-06-22 01:01:29,31.56,-91.4,77.0,88,1,8.05,clear sky,0.0,0.0
65,Mataura,NZ,2020-06-22 01:03:02,-46.19,168.86,39.0,83,0,3.0,clear sky,0.0,0.0
66,Luena,AO,2020-06-22 01:04:50,-11.78,19.92,47.68,55,0,3.8,clear sky,0.0,0.0
67,Leningradskiy,RU,2020-06-22 01:04:50,69.38,178.42,62.02,46,0,4.52,clear sky,0.0,0.0
68,Lamar,US,2020-06-22 01:04:51,33.67,-95.58,77.0,83,1,12.75,clear sky,0.0,0.0
69,East London,ZA,2020-06-22 01:04:51,-33.02,27.91,62.58,64,87,9.1,overcast clouds,0.0,0.0
70,Yellowknife,CA,2020-06-22 01:00:04,62.46,-114.35,80.01,38,20,16.11,few clouds,0.0,0.0
71,Cherskiy,RU,2020-06-22 01:04:48,68.75,161.3,84.18,25,62,14.0,broken clouds,0.0,0.0
72,Mount Gambier,AU,2020-06-22 01:02:05,-37.83,140.77,48.2,100,90,8.05,moderate rain,0.0,0.0
73,Cabo San Lucas,MX,2020-06-22 01:00:13,22.89,-109.91,82.4,37,5,6.93,clear sky,0.0,0.0
74,Sabha,LY,2020-06-22 01:04:53,27.04,14.43,75.11,31,0,16.82,clear sky,0.0,0.0
75,Rio Grande,BR,2020-06-22 01:00:07,-32.03,-52.1,63.0,91,7,5.01,clear sky,0.0,0.0
76,Lebu,CL,2020-06-22 01:04:54,-37.62,-73.65,50.86,84,97,17.67,overcast clouds,0.0,0.0
77,Vila Velha,BR,2020-06-22 01:03:12,-20.33,-40.29,70.0,88,0,3.36,clear sky,0.0,0.0
78,Saskylakh,RU,2020-06-22 01:04:55,71.92,114.08,63.07,52,50,10.45,scattered clouds,0.0,0.0
79,Henties Bay,NA,2020-06-22 01:04:55,-22.12,14.28,55.99,79,74,1.01,broken clouds,0.0,0.0
